H,a,e,i,q,ad,per_y,diameter,albedo,impact_candidate,name,is_neo,is_pha
16.45,2.239,0.52,37.07,1.075,3.4,3.35,0.2639797483219108,0.0,1,  4596 (1981 QB),False,False
18.75,1.485,0.3588,1.45,0.952,2.02,1.81,0.09153150651639133,0.0,1,  4660 Nereus (1982 DB),False,False
19.6,2.233,0.5179,6.37,1.077,3.39,3.34,0.06188289326771237,0.0,0,  4688 (1980 WF),False,False
17.4,1.063,0.4832,8.89,0.549,1.58,1.1,0.17043964088354574,0.0,1,  4769 Castalia (1989 PB),False,False
18.09,1.37,0.1684,15.65,1.139,1.6,1.6,0.1240425285275533,0.0,1,  4947 Ninkasi (1988 TJ1),False,False
14.88,1.621,0.6575,24.38,0.555,2.69,2.06,0.5439645658896151,0.0,1,  4953 (1990 MU),False,False
12.56,2.001,0.4494,17.43,1.102,2.9,2.83,1.5833269735565723,0.0,1,  4954 Eric (1990 SQ),False,False
15.05,1.565,0.2188,35.01,1.223,1.91,1.96,0.5030030407652253,0.0,1,  4957 Brucemurray (1990 XJ),False,False
16.66,1.636,0.5002,7.41,0.818,2.45,2.09,0.23964623507790095,0.0,1,  5011 Ptah (6743 P-L),False,False
14.83,1.486,0.5689,36.45,0.641,2.33,1.81,0.5566351283238858,0.0,1,  5131 (1990 BG),False,False
14.06,1.835,0.7712,8.98,0.42,3.25,2.49,0.7935432658042599,0.0,1,  5143 Heracles (1991 VL),False,False
17.84,1.552,0.4782,3.58,0.81,2.29,1.93,0.13917800612619266,0.0,1,  5189 (1990 UQ),False,False
15.35,2.979,0.6063,19.66,1.173,4.79,5.14,0.4380973341437053,0.0,1,  5324 Lyapunov (1987 SL),False,False
14.96,2.163,0.4556,25.52,1.178,3.15,3.18,0.5242888364274246,0.0,1,  5332 Davidaguilar (1990 DA),False,False
15.23,3.318,0.637,19.17,1.205,5.43,6.04,0.46298893346289444,0.0,1,  5370 Taranis (1986 RA),False,False
16.72,0.9474,0.2964,48.97,0.667,1.23,0.922,0.23311520986063033,0.0,1,  5381 Sekhmet (1991 JY),False,False
16.15,2.437,0.6342,68.02,0.891,3.98,3.8,0.30308930403763756,0.0,1,  5496 (1973 NA),False,False
13.89,2.401,0.5443,18.04,1.094,3.71,3.72,0.8581646294645705,0.0,1,  5587 (1990 SB),False,False
19.91,0.9863,0.2801,14.18,0.71,1.26,0.98,0.05365010922472145,0.0,0,  5590 (1990 VA),False,False
17.38,0.93,0.4065,4.7,0.552,1.31,0.897,0.1720166994635922,0.0,1,  5604 (1992 FE),False,False
17.09,2.159,0.4227,7.87,1.246,3.07,3.17,0.19659415903898278,0.0,1,  5620 Jasonwheeler (1990 OA),False,False
14.33,2.195,0.4545,3.85,1.197,3.19,3.25,0.7007621081442473,0.0,1,  5626 Melissabrucker (1991 FE),False,False
17.23,1.355,0.3873,13.51,0.83,1.88,1.58,0.18431921429849435,0.0,1,  5645 (1990 SP),False,False
15.51,2.144,0.4358,7.91,1.21,3.08,3.14,0.40697769755740026,0.0,1,  5646 (1990 TR),False,False
16.22,1.794,0.3044,6.87,1.248,2.34,2.4,0.2934746615692778,0.0,1,  5653 Camarillo (1992 WD5),False,False
15.38,1.786,0.762,38.14,0.425,3.15,2.39,0.43208641337565795,0.0,1,  5660 (1974 MA),False,False
16.78,1.271,0.5851,5.06,0.527,2.01,1.43,0.2267621732121125,0.0,1,  5693 (1993 EA),False,False
15.47,2.265,0.6524,11.2,0.787,3.74,3.41,0.41454397786206093,0.0,1,  5731 Zeus (1988 VP4),False,False
14.94,2.101,0.4253,16.07,1.208,3.0,3.05,0.5291400213021655,0.0,1,  5751 Zao (1992 AC),False,False
17.15,1.082,0.8268,23.22,0.187,1.98,1.12,0.19123642241593786,0.0,1,  5786 Talos (1991 RC),False,False
18.89,1.894,0.4443,4.19,1.052,2.74,2.61,0.08581646294645705,0.0,1,  5797 Bivoj (1980 AA),False,False
15.96,1.698,0.6949,30.18,0.518,2.88,2.21,0.3308038919728585,0.0,1,  5828 (1991 AM),False,False
14.99,2.439,0.5383,7.93,1.126,3.75,3.81,0.5170953239138264,0.0,1,  5836 (1993 MF),False,False
15.84,2.221,0.5073,19.51,1.094,3.35,3.31,0.34959934515294044,0.0,1,  5863 Tara (1983 RB),False,False
17.22,1.812,0.3214,17.92,1.23,2.39,2.44,0.18516999313597485,0.0,1,  5869 Tanith (1988 VN4),False,False
17.61,1.625,0.2891,21.58,1.155,2.09,2.07,0.15472860515027997,0.0,1,  5879 Almeria (1992 CH1),False,False
18.86,1.272,0.4996,3.51,0.636,1.91,1.43,0.08701028886506272,0.0,1,  6037 (1988 EG),False,False
17.84,1.455,0.3521,23.47,0.942,1.97,1.75,0.13917800612619266,0.0,1,  6047 (1991 TB1),False,False
14.94,2.202,0.4372,6.41,1.239,3.16,3.27,0.5291400213021655,0.0,1,  6050 Miwablock (1992 AE),False,False
15.1,2.147,0.5284,21.58,1.013,3.28,3.15,0.4915532936897313,0.0,1,  6053 (1993 BW3),False,False
16.02,2.22,0.7625,4.96,0.527,3.91,3.31,0.32178856753121315,0.0,1,  6063 Jason (1984 KB),False,False
15.71,2.814,0.5848,4.31,1.168,4.46,4.72,0.37116807154846015,0.0,1,  6178 (1986 DA),False,False
18.59,1.151,0.4125,3.94,0.676,1.63,1.23,0.09853048271602782,0.0,1,  6239 Minos (1989 QF),False,False
14.08,2.24,0.5729,37.34,0.957,3.52,3.35,0.7862680174133935,0.0,1,  6455 (1992 HE),False,False
16.06,2.193,0.4088,8.22,1.297,3.09,3.25,0.31591526426111616,0.0,1,  6456 Golombek (1992 OM),False,False
19.22,2.477,0.6188,2.26,0.944,4.01,3.9,0.07371750203877347,0.0,0,  6489 Golevka (1991 JX),False,False
18.72,2.504,0.5921,6.15,1.021,3.99,3.96,0.09280483661060028,0.0,1,  6491 (1991 OA),False,False
16.63,1.626,0.2207,22.64,1.267,1.99,2.07,0.24298004629441272,0.0,1,  6569 Ondaatje (1993 MO),False,False
16.82,1.696,0.4845,8.7,0.874,2.52,2.21,0.2226232971057329,0.0,1,  6611 (1993 VW),False,False
18.08,1.476,0.315,12.61,1.011,1.94,1.79,0.12461508282483853,0.0,1,  7025 (1993 QA),False,False
16.84,1.981,0.3903,8.3,1.208,2.75,2.79,0.22058227444971373,0.0,1,  7088 Ishtar (1992 AA),False,False
15.12,2.545,0.6937,17.79,0.78,4.31,4.06,0.4870467060050422,0.0,1,  7092 Cadmus (1992 LC),False,False
18.32,2.722,0.5637,16.69,1.187,4.26,4.49,0.11157595441740463,0.0,1,  7236 (1987 PA),False,False
17.7,1.773,0.4845,15.16,0.914,2.63,2.36,0.14844672149475813,0.0,1,  7335 (1989 JA),False,False
18.8,2.306,0.482,7.2,1.194,3.42,3.5,0.08944799505797689,0.0,1,  7336 Saunders (1989 RS1),False,False
16.96,1.842,0.5061,5.41,0.91,2.77,2.5,0.20872314522290739,0.0,1,  7341 (1991 VK),False,False
17.16,1.356,0.3912,7.26,0.826,1.89,1.58,0.1903577708677492,0.0,1,  7350 (1993 VA),False,False
14.72,2.198,0.5024,4.66,1.094,3.3,3.26,0.5855589326274249,0.0,1,  7358 Oze (1995 YA3),False,False
18.11,1.566,0.2921,7.09,1.108,2.02,1.96,0.12290529979037235,0.0,1,  7474 (1992 TC),False,False
17.24,1.568,0.3169,9.45,1.071,2.06,1.96,0.1834723444346984,0.0,1,  7480 Norwan (1994 PC),False,False
16.58,1.349,0.3294,33.47,0.904,1.79,1.57,0.24863977863712589,0.0,1,  7482 (1994 PC1),False,False
18.01,1.467,0.4816,3.12,0.761,2.17,1.78,0.12869764811725304,0.0,1,  7753 (1988 XB),False,False
17.34,1.123,0.1646,37.12,0.938,1.31,1.19,0.17521472867510823,0.0,1,  7822 (1991 CS),False,False
17.83,2.165,0.5186,27.12,1.042,3.29,3.19,0.1398204226138364,0.0,1,  7839 (1994 ND),False,False
